 state , Q4_1999 , Q4_2000 , Q4_2001 , Q4_2002 , Q4_2003 , Q4_2004 , Q4_2005 , Q4_2006 , Q4_2007 , Q4_2008 , Q4_2009 , Q4_2010 , Q4_2011 , Q4_2012 , Q4_2013 , Q4_2014 , Q4_2015 , Q4_2016 
 KY , 350 , 410 , 520 , 510 , 830 ," 1,020 "," 1,180 "," 1,450 "," 1,740 "," 2,180 "," 2,500 "," 2,850 "," 3,080 "," 3,500 "," 3,670 "," 3,940 "," 4,170 "," 4,390 "
 LA , 520 , 560 , 710 , 680 , 990 ," 1,550 "," 1,690 "," 1,970 "," 2,190 "," 2,560 "," 2,910 "," 3,130 "," 3,390 "," 3,750 "," 4,030 "," 4,340 "," 4,500 "," 4,810 "
 MA , 850 , 900 ," 1,070 "," 1,170 "," 1,400 "," 2,050 "," 2,250 "," 2,740 "," 3,070 "," 3,600 "," 3,900 "," 4,380 "," 4,580 "," 4,860 "," 5,170 "," 5,310 "," 5,630 "," 5,830 "
 MD , 590 , 640 , 820 , 850 ," 1,250 "," 1,790 "," 1,970 "," 2,380 "," 2,620 "," 3,060 "," 3,520 "," 4,040 "," 4,270 "," 4,730 "," 5,110 "," 5,480 "," 5,670 "," 6,010 "
 ME , 670 , 670 , 860 , 920 ," 1,190 "," 1,340 "," 1,460 "," 1,880 "," 2,230 "," 3,050 "," 3,360 "," 3,600 "," 3,720 "," 3,970 "," 4,210 "," 4,450 "," 4,760 "," 5,050 "
 MI , 450 , 460 , 610 , 590 ," 1,120 "," 1,420 "," 1,600 "," 1,920 "," 2,190 "," 2,700 "," 3,120 "," 3,500 "," 3,800 "," 4,240 "," 4,540 "," 4,840 "," 4,940 "," 5,280 "
 MN , 600 , 690 , 950 ," 1,050 "," 1,430 "," 1,840 "," 2,080 "," 2,450 "," 2,900 "," 3,330 "," 3,730 "," 4,200 "," 4,600 "," 5,020 "," 5,310 "," 5,550 "," 5,730 "," 5,980 "
 MO , 410 , 470 , 770 , 820 ," 1,060 "," 1,490 "," 1,610 "," 1,970 "," 2,260 "," 2,700 "," 3,110 "," 3,470 "," 3,760 "," 4,180 "," 4,370 "," 4,620 "," 4,760 "," 5,000 "
 MS , 430 , 400 , 540 , 590 , 810 ," 1,130 "," 1,300 "," 1,680 "," 1,980 "," 2,390 "," 2,820 "," 3,150 "," 3,560 "," 4,130 "," 4,250 "," 4,630 "," 4,880 "," 5,210 "
 MT , 680 , 700 , 940 , 940 ," 1,270 "," 1,770 "," 1,640 "," 2,170 "," 2,360 "," 2,680 "," 2,950 "," 3,210 "," 3,420 "," 3,750 "," 3,840 "," 4,090 "," 4,080 "," 4,000 "
