 state , Q4_1999 , Q4_2000 , Q4_2001 , Q4_2002 , Q4_2003 , Q4_2004 , Q4_2005 , Q4_2006 , Q4_2007 , Q4_2008 , Q4_2009 , Q4_2010 , Q4_2011 , Q4_2012 , Q4_2013 , Q4_2014 , Q4_2015 , Q4_2016 
 OH ," 9,044,080 "," 9,446,200 "," 9,715,800 "," 9,715,980 "," 9,710,580 "," 9,648,380 "," 9,741,400 "," 9,716,500 "," 9,626,900 "," 9,428,460 "," 9,401,800 "," 9,414,660 "," 9,358,380 "," 9,315,460 "," 9,780,980 "," 9,827,900 "," 9,870,960 "," 9,966,480 "
 OK ," 2,715,160 "," 2,786,680 "," 2,904,620 "," 2,910,580 "," 2,905,560 "," 2,900,720 "," 2,927,500 "," 2,937,340 "," 2,893,300 "," 2,832,000 "," 2,844,020 "," 2,862,280 "," 2,864,200 "," 2,863,240 "," 3,048,820 "," 3,090,660 "," 3,124,020 "," 3,170,860 "
 OR ," 2,740,140 "," 2,856,760 "," 2,982,900 "," 2,968,820 "," 2,987,520 "," 3,000,120 "," 3,059,380 "," 3,084,200 "," 3,092,240 "," 3,052,340 "," 3,061,160 "," 3,078,820 "," 3,086,720 "," 3,094,300 "," 3,226,460 "," 3,286,800 "," 3,344,900 "," 3,432,220 "
 PA ," 9,294,080 "," 9,725,300 "," 10,065,480 "," 10,171,700 "," 10,221,720 "," 10,259,480 "," 10,382,340 "," 10,413,160 "," 10,398,160 "," 10,235,320 "," 10,215,080 "," 10,261,100 "," 10,222,540 "," 10,178,840 "," 10,646,360 "," 10,732,660 "," 10,801,200 "," 10,923,600 "
 PR ," 2,245,700 "," 2,471,180 "," 2,653,960 "," 2,711,140 "," 2,771,260 "," 2,848,740 "," 2,845,420 "," 2,863,040 "," 2,826,400 "," 2,836,460 "," 2,794,620 "," 2,776,180 "," 2,793,820 "," 2,743,080 "," 2,775,880 "," 2,739,520 "," 2,714,580 "," 2,679,560 "
 RI ," 735,360 "," 788,920 "," 815,300 "," 834,940 "," 840,320 "," 838,080 "," 840,240 "," 846,520 "," 844,960 "," 832,540 "," 824,700 "," 829,860 "," 823,680 "," 821,380 "," 858,480 "," 867,260 "," 875,040 "," 885,540 "
 SC ," 3,228,780 "," 2,996,800 "," 3,363,280 "," 3,443,560 "," 3,462,520 "," 3,514,420 "," 3,593,280 "," 3,648,980 "," 3,628,600 "," 3,576,900 "," 3,590,440 "," 3,632,000 "," 3,635,520 "," 3,654,060 "," 3,877,420 "," 3,969,780 "," 4,043,740 "," 4,129,280 "
 SD ," 523,860 "," 514,520 "," 571,120 "," 596,500 "," 604,240 "," 599,580 "," 606,000 "," 612,960 "," 616,120 "," 611,380 "," 616,360 "," 623,600 "," 623,180 "," 624,440 "," 652,200 "," 664,040 "," 674,560 "," 682,800 "
 TN ," 4,464,720 "," 4,273,040 "," 4,672,100 "," 4,775,620 "," 4,792,020 "," 4,803,540 "," 4,921,340 "," 4,999,120 "," 4,982,560 "," 4,924,420 "," 4,924,460 "," 4,973,720 "," 4,984,120 "," 4,988,860 "," 5,264,140 "," 5,348,180 "," 5,432,140 "," 5,560,740 "
 TX ," 15,180,880 "," 15,943,080 "," 16,883,020 "," 17,078,640 "," 17,328,080 "," 17,660,360 "," 17,951,040 "," 18,307,640 "," 18,050,580 "," 17,741,640 "," 17,817,040 "," 18,095,620 "," 18,195,760 "," 18,277,860 "," 19,657,520 "," 20,114,200 "," 20,623,760 "," 21,186,820 "
 UT ," 1,527,160 "," 1,613,700 "," 1,714,100 "," 1,720,400 "," 1,756,240 "," 1,783,560 "," 1,820,980 "," 1,852,860 "," 1,865,740 "," 1,865,860 "," 1,889,480 "," 1,922,000 "," 1,932,320 "," 1,935,680 "," 2,058,940 "," 2,110,580 "," 2,159,080 "," 2,212,620 "
 VA ," 5,553,820 "," 5,793,500 "," 6,015,300 "," 6,048,640 "," 6,122,520 "," 6,181,920 "," 6,340,560 "," 6,347,240 "," 6,318,520 "," 6,274,480 "," 6,292,060 "," 6,360,080 "," 6,379,100 "," 6,383,860 "," 6,725,840 "," 6,818,000 "," 6,899,380 "," 6,992,600 "
 VT ," 424,600 "," 441,880 "," 466,300 "," 477,180 "," 485,140 "," 490,940 "," 498,040 "," 500,580 "," 500,460 "," 495,580 "," 495,860 "," 500,560 "," 500,720 "," 499,220 "," 517,780 "," 524,340 "," 527,720 "," 533,760 "
 WA ," 4,674,680 "," 4,672,520 "," 4,935,100 "," 4,984,720 "," 5,044,880 "," 5,114,300 "," 5,226,100 "," 5,293,920 "," 5,300,560 "," 5,271,280 "," 5,281,460 "," 5,335,860 "," 5,362,640 "," 5,380,640 "," 5,678,440 "," 5,800,160 "," 5,912,960 "," 6,055,140 "
 WI ," 3,764,020 "," 3,743,340 "," 4,024,060 "," 4,109,560 "," 4,198,660 "," 4,256,820 "," 4,332,720 "," 4,365,220 "," 4,357,780 "," 4,311,200 "," 4,338,040 "," 4,371,720 "," 4,375,600 "," 4,374,200 "," 4,613,780 "," 4,661,420 "," 4,702,400 "," 4,757,020 "
 WV ," 1,457,560 "," 1,440,260 "," 1,522,140 "," 1,539,960 "," 1,550,100 "," 1,532,680 "," 1,572,120 "," 1,557,060 "," 1,529,980 "," 1,503,780 "," 1,495,420 "," 1,502,680 "," 1,499,040 "," 1,487,800 "," 1,564,120 "," 1,570,260 "," 1,569,560 "," 1,580,440 "
 WY ," 363,400 "," 382,980 "," 399,200 "," 405,940 "," 409,660 "," 408,220 "," 415,500 "," 418,000 "," 420,840 "," 420,820 "," 424,480 "," 428,500 "," 429,560 "," 429,480 "," 448,140 "," 454,000 "," 459,440 "," 463,440 "
 allUS ," 213,710,272 "," 225,141,344 "," 235,396,400 "," 236,999,648 "," 238,403,344 "," 239,520,304 "," 243,048,144 "," 244,542,960 "," 243,167,856 "," 239,615,536 "," 239,480,736 "," 240,969,936 "," 240,874,656 "," 240,765,728 "," 253,855,344 "," 257,980,096 "," 261,651,840 "," 266,229,200 "
