state,Q4_1999,Q4_2000,Q4_2001,Q4_2002,Q4_2003,Q4_2004,Q4_2005,Q4_2006,Q4_2007,Q4_2008,Q4_2009,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016
NV,1.529999971,1.379999995,1.529999971,1.730000019,1.399999976,0.620000005,0.589999974,1.590000033,5.119999886,9.979999542,18.04999924,17.26000023,13.57999992,11.10999966,7.369999886,5.400000095,3.640000105,2.190000057
NY,1.389999986,1.419999957,1.49000001,1.460000038,1.360000014,1.059999943,1.070000052,1.50999999,3.25999999,5.679999828,9.75,10.21000004,10.06999969,9.229999542,8.039999962,6.610000134,4.840000153,3.220000029
OH,1.00999999,1.330000043,1.720000029,2.130000114,2.140000105,2.200000048,2.059999943,2.410000086,3.039999962,3.690000057,4.96999979,4.71999979,4.53000021,3.849999905,2.869999886,2.400000095,1.980000019,1.49000001
OK,1.200000048,1.320000052,1.629999995,1.850000024,1.830000043,2.00999999,1.840000033,1.659999967,2.170000076,2.74000001,4.090000153,3.960000038,3.940000057,3.599999905,2.809999943,2.49000001,2.039999962,1.75999999
OR,0.779999971,0.930000007,1.179999948,1.210000038,1.00999999,0.889999986,0.629999995,0.610000014,1.230000019,3.029999971,5.789999962,5.539999962,5.420000076,4.610000134,3.529999971,2.900000095,1.799999952,1.110000014
PA,1,1.179999948,1.299999952,1.399999976,1.389999986,1.370000005,1.210000038,1.320000052,1.779999971,2.619999886,4.320000172,4.239999771,4.329999924,4.119999886,3.430000067,2.829999924,2.299999952,1.820000052
PR,2.390000105,2.170000076,3.230000019,3.299999952,3.039999962,3.019999981,2.519999981,3.029999971,3.420000076,4.980000019,7.639999866,8.43999958,8.229999542,7.900000095,7.449999809,7.670000076,7.360000134,5.900000095
RI,0.709999979,0.850000024,0.709999979,0.810000002,0.550000012,0.319999993,0.600000024,1.440000057,3.460000038,5.070000172,7.889999866,7.340000153,6.190000057,5.260000229,4.039999962,3.569999933,2.829999924,1.779999971
SC,1.379999995,1.639999986,2.339999914,2.470000029,2.529999971,2.400000095,1.950000048,1.840000033,2.180000067,3.380000114,6.519999981,6.369999886,6.260000229,5.5,4.25,3.390000105,2.349999905,1.909999967
SD,0.689999998,0.75,0.800000012,0.860000014,0.829999983,0.730000019,0.839999974,0.689999998,1.320000052,1.639999986,2.079999924,2.200000048,2.049999952,1.610000014,1.120000005,0.699999988,0.810000002,0.74000001
TN,0.99000001,1.179999948,1.580000043,1.610000014,1.620000005,1.590000033,1.450000048,1.480000019,1.840000033,2.769999981,4.349999905,4.090000153,3.869999886,3.079999924,2.349999905,1.899999976,1.519999981,1.070000052
TX,0.959999979,0.970000029,1.340000033,1.399999976,1.629999995,1.669999957,1.590000033,1.669999957,2.349999905,3.00999999,4.460000038,4.039999962,3.660000086,2.900000095,2.190000057,1.840000033,1.429999948,1.25
UT,1.330000043,1.620000005,1.970000029,2.079999924,1.960000038,1.870000005,1.110000014,0.959999979,1.75999999,3.700000048,7,6.409999847,4.820000172,3.809999943,2.400000095,1.519999981,1.049999952,0.860000014
VA,0.660000026,0.680000007,0.730000019,0.720000029,0.610000014,0.49000001,0.360000014,0.699999988,1.929999948,3.569999933,5.090000153,4.130000114,3.380000114,2.670000076,1.929999948,1.649999976,1.269999981,0.959999979
VT,0.620000005,0.400000006,0.620000005,0.620000005,0.409999996,0.479999989,0.600000024,0.75999999,1.230000019,1.809999943,3.25999999,3,3.130000114,2.789999962,2.809999943,2.269999981,1.799999952,1.370000005
WA,0.600000024,0.769999981,1.129999995,1.019999981,0.930000007,0.870000005,0.629999995,0.709999979,1.220000029,2.710000038,5.489999771,6.119999886,5.710000038,5.289999962,3.410000086,2.50999999,1.610000014,1
WI,0.529999971,0.629999995,0.930000007,1.019999981,0.889999986,0.949999988,0.810000002,1.159999967,1.870000005,2.539999962,4.039999962,3.829999924,3.470000029,2.75999999,1.940000057,1.549999952,1.200000048,0.959999979
WV,1.299999952,1.120000005,1.440000057,1.429999948,1.590000033,1.629999995,1.460000038,1.190000057,2.069999933,2.630000114,3.839999914,3.869999886,3.470000029,2.849999905,2.359999895,2.25,1.769999981,1.559999943
WY,0.589999974,0.800000012,0.889999986,0.839999974,0.939999998,0.910000026,0.579999983,0.469999999,1.139999986,1.799999952,2.880000114,2.5,2.190000057,1.620000005,1.330000043,1.460000038,0.910000026,0.959999979
allUS,0.930000007,0.959999979,1.179999948,1.210000038,1.139999986,1.039999962,0.939999998,1.279999971,2.890000105,5.400000095,8.659999847,7.889999866,6.849999905,5.570000172,3.970000029,3.029999971,2.150000095,1.529999971
