state,Q4_1999,Q4_2000,Q4_2001,Q4_2002,Q4_2003,Q4_2004,Q4_2005,Q4_2006,Q4_2007,Q4_2008,Q4_2009,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016
MN," 24,690 "," 27,810 "," 29,390 "," 32,290 "," 39,800 "," 44,220 "," 48,160 "," 52,030 "," 55,200 "," 55,930 "," 53,660 "," 50,840 "," 52,110 "," 51,310 "," 50,470 "," 50,660 "," 51,110 "," 51,850 "
MO," 18,200 "," 20,010 "," 21,060 "," 22,650 "," 26,540 "," 28,660 "," 30,670 "," 32,830 "," 35,950 "," 37,640 "," 36,400 "," 34,820 "," 36,450 "," 36,410 "," 35,550 "," 35,890 "," 36,510 "," 37,170 "
MS," 13,290 "," 14,220 "," 15,220 "," 16,710 "," 18,640 "," 19,980 "," 18,480 "," 22,010 "," 25,000 "," 26,890 "," 26,370 "," 25,660 "," 27,050 "," 27,680 "," 27,070 "," 27,710 "," 28,650 "," 29,430 "
MT," 17,420 "," 18,710 "," 19,590 "," 21,360 "," 24,910 "," 28,530 "," 30,370 "," 33,440 "," 37,640 "," 40,030 "," 39,380 "," 38,090 "," 39,510 "," 39,880 "," 39,460 "," 40,820 "," 40,360 "," 42,240 "
NC," 20,760 "," 23,070 "," 24,500 "," 27,040 "," 30,680 "," 33,200 "," 35,360 "," 38,150 "," 42,320 "," 44,720 "," 43,650 "," 42,530 "," 43,340 "," 42,950 "," 41,540 "," 41,720 "," 41,880 "," 42,840 "
ND," 15,210 "," 16,560 "," 17,280 "," 18,260 "," 21,340 "," 22,610 "," 24,300 "," 26,130 "," 28,880 "," 30,210 "," 30,280 "," 30,380 "," 32,610 "," 34,980 "," 36,320 "," 38,040 "," 39,510 "," 40,660 "
NE," 17,900 "," 18,490 "," 19,960 "," 21,490 "," 25,120 "," 28,160 "," 30,030 "," 31,880 "," 33,430 "," 34,610 "," 34,300 "," 32,010 "," 35,840 "," 36,360 "," 35,170 "," 35,620 "," 36,820 "," 37,720 "
NH," 24,530 "," 26,460 "," 26,700 "," 30,490 "," 37,110 "," 42,530 "," 46,780 "," 51,200 "," 54,260 "," 56,160 "," 54,280 "," 52,150 "," 53,330 "," 52,970 "," 51,880 "," 51,690 "," 52,270 "," 53,510 "
NJ," 27,490 "," 27,720 "," 29,450 "," 33,010 "," 39,420 "," 44,590 "," 49,420 "," 54,770 "," 60,550 "," 63,620 "," 62,190 "," 60,790 "," 61,700 "," 60,600 "," 57,880 "," 57,600 "," 55,800 "," 56,420 "
NM," 19,010 "," 20,660 "," 21,610 "," 24,230 "," 27,760 "," 29,630 "," 32,550 "," 34,970 "," 39,380 "," 41,910 "," 40,200 "," 39,060 "," 39,530 "," 39,470 "," 37,670 "," 37,920 "," 37,990 "," 38,250 "
